,Unnamed: 0,binding_site_name,enzyme_name,binding_site_ranking,mainclass,subclass,subsubclass,designation,atoms,dataset,dates,centers,uniq_fold,uniq_sub,uniq_subsub,uniq_designation
4781,4781,1,2GL0,1,2,7,1,20,2258,2020,04/04/2006,"(18.026, 11.96, 6.617)",4751,23,148,1904
4782,4782,1,2GL9,1,3,5,1,26,2176,2020,04/04/2006,"(10.099, 29.54, 27.279)",3635,21,273,2523
4783,4783,1,2CJP,1,3,3,2,3,1877,2020,05/04/2006,"(43.01, 100.2, 10.93)",889,22,151,1231
4784,4784,1,2GLX,1,1,1,1,263,1757,2020,05/04/2006,"(19.662, 36.835, 74.055)",531,29,191,1899
4785,4785,1,2GLP,1,4,2,1,-,2431,2020,05/04/2006,"(-79.551, 51.244, 112.245)",3910,57,267,2392
4786,4786,1,2GMH,1,1,5,5,1,2468,2020,06/04/2006,"(59.699, 24.425, 64.979)",3519,15,264,1191
4787,4787,1,2GM9,1,2,4,1,1,2280,2020,06/04/2006,"(15.125, 111.656, 28.786)",3100,46,193,1416
4788,4788,1,2GMK,1,3,1,27,-,735,2020,06/04/2006,"(-18.581, -0.079, 4.41)",2026,63,192,2996
4789,4789,1,2DKD,1,5,4,2,3,1524,2020,07/04/2006,"(12.174, 0.014, 20.672)",2374,65,91,1350
4790,4790,1,2DKC,1,5,4,2,3,1781,2020,07/04/2006,"(-13.779, -1.445, 21.33)",2374,65,91,1350
4791,4791,1,2GMU,1,4,-,-,-,2579,2020,07/04/2006,"(-1.346, -0.267, 6.007)",699,60,179,558
4792,4792,1,2GMS,1,4,-,-,-,2584,2020,07/04/2006,"(-1.214, -1.694, 7.037)",699,60,179,558
4793,4793,1,2GN2,1,4,3,1,19,1884,2020,09/04/2006,"(-40.286, -69.778, 0.0)",1239,53,212,590
4794,4794,1,2GN4,1,4,2,1,-,2231,2020,09/04/2006,"(14.506, 39.85, 3.158)",838,57,267,2392
4795,4795,1,2GNH,1,2,7,11,11,1851,2020,10/04/2006,"(8.214, 9.468, 3.455)",2753,23,75,3020
4796,4796,1,2CJZ,1,3,1,3,48,1365,2020,10/04/2006,"(10.285, -17.38, -15.276)",2673,63,238,442
4797,4797,1,2GNF,1,2,7,11,11,1918,2020,10/04/2006,"(8.6, 9.251, 43.255)",2753,23,75,3020
4798,4798,1,2GNI,1,2,7,11,11,1846,2020,10/04/2006,"(7.406, 9.315, 3.839)",2753,23,75,3020
4799,4799,1,2DKH,1,1,14,13,23,2164,2020,11/04/2006,"(24.171, 41.909, 29.806)",4160,14,268,20
4800,4800,1,2DKI,1,1,14,13,23,1910,2020,11/04/2006,"(10.845, 63.809, 37.468)",4160,14,268,20
4801,4801,1,2DKN,1,1,1,1,50,1628,2020,12/04/2006,"(15.228, -3.092, -2.175)",1760,29,191,99
4802,4802,1,2GOU,1,1,-,-,-,2148,2020,14/04/2006,"(-0.383, -5.442, -2.405)",4553,35,245,1479
4803,4803,1,2GPT,1,1,1,1,25,1964,2020,18/04/2006,"(36.924, 42.23, 84.239)",5318,29,191,779
4804,4804,1,2GQ2,1,2,1,1,148,2348,2020,19/04/2006,"(19.764, 2.224, 22.022)",1255,50,269,1813
4805,4805,1,2GQ3,1,2,3,3,9,1808,2020,19/04/2006,"(48.119, 19.143, 86.538)",346,51,214,1921
4806,4806,1,2GQ9,1,1,-,-,-,2097,2020,20/04/2006,"(-1.346, -3.815, -1.874)",4553,35,245,1479
4807,4807,1,2GQ8,1,1,-,-,-,2135,2020,20/04/2006,"(-0.753, -4.816, -2.275)",4553,35,245,1479
4808,4808,1,2DM6,1,1,3,1,48,1927,2020,20/04/2006,"(-13.438, 63.688, -6.447)",3001,68,113,2197
4809,4809,1,2GQG,1,2,7,10,2,1385,2020,20/04/2006,"(46.475, 78.76, 34.841)",1419,23,202,2567
4810,4810,1,2CKQ,1,2,7,1,32,1997,2020,20/04/2006,"(19.449, -28.353, -18.203)",2321,23,148,1635
4811,4811,1,2GQA,1,1,-,-,-,2136,2020,20/04/2006,"(-0.495, -5.491, -2.344)",4553,35,245,1479
4812,4812,1,2GQS,1,6,3,2,6,1508,2020,21/04/2006,"(-7.324, 31.787, 72.706)",4404,36,92,2505
4813,4813,1,2GQR,1,6,3,2,6,1442,2020,21/04/2006,"(37.076, 31.829, 76.335)",4404,36,92,2505
4814,4814,1,2GQW,1,1,18,1,2,1756,2020,22/04/2006,"(53.161, 30.692, 14.215)",352,31,111,738
4815,4815,1,2GR0,1,1,18,1,2,1577,2020,22/04/2006,"(74.196, 25.699, 8.568)",352,31,111,738
4816,4816,1,2GQX,1,1,14,15,1,2153,2020,22/04/2006,"(-23.587, 14.43, 1.514)",1405,14,4,1577
4817,4817,1,2GRU,1,4,2,3,-,2158,2020,25/04/2006,"(5.663, 12.034, 11.058)",5309,57,181,498
4818,4818,1,2CL0,1,3,6,5,2,1932,2020,25/04/2006,"(44.27, 76.678, 41.426)",2762,55,201,2598
4819,4819,1,2CL6,1,3,6,5,2,986,2020,26/04/2006,"(21.438, 67.924, -2.107)",2762,55,201,2598
4820,4820,1,2CL7,1,3,6,5,2,1010,2020,26/04/2006,"(21.913, 67.426, -0.824)",2762,55,201,2598
4821,4821,1,2GSD,1,1,2,1,43,2326,2020,26/04/2006,"(71.587, 6.813, 36.721)",3130,20,69,1768
4822,4822,1,2CLD,1,3,6,5,2,954,2020,27/04/2006,"(22.369, 67.713, 0.024)",2762,55,201,2598
4823,4823,1,2CLC,1,3,6,5,2,1010,2020,27/04/2006,"(21.93, 67.447, -0.932)",2762,55,201,2598
4824,4824,1,2DOO,1,3,5,2,6,1527,2020,01/05/2006,"(30.839, 44.285, 36.972)",2634,21,154,2565
4825,4825,1,2GVJ,1,2,4,2,12,2235,2020,02/05/2006,"(14.067, 5.591, -0.913)",3729,46,272,1767
4826,4826,1,2GV2,1,6,3,2,-,566,2020,02/05/2006,"(15.219, 22.371, 12.321)",2698,36,92,749
4827,4827,1,2GV6,1,3,4,21,109,1268,2020,02/05/2006,"(16.634, 64.444, 25.798)",5486,24,158,2795
4828,4828,1,2GVV,1,3,1,8,2,1767,2020,03/05/2006,"(19.201, 2.751, 61.463)",4272,63,52,161
4829,4829,1,2GVY,1,3,2,1,1,2150,2020,03/05/2006,"(12.274, 11.682, 12.256)",1710,44,178,1347
4830,4830,1,2CMC,1,3,1,3,48,1192,2020,04/05/2006,"(22.038, 31.464, 15.313)",1937,63,238,442
4831,4831,1,2GWD,1,6,3,2,2,2037,2020,04/05/2006,"(37.623, 21.721, 43.17)",2525,36,92,2086
4832,4832,1,2CM8,1,3,1,3,48,1522,2020,04/05/2006,"(46.166, 14.771, 3.657)",1937,63,238,442
4833,4833,1,2CMB,1,3,1,3,48,1089,2020,04/05/2006,"(18.262, 32.411, 15.164)",1937,63,238,442
4834,4834,1,2CM7,1,3,1,3,48,1195,2020,04/05/2006,"(17.515, -4.219, -6.046)",1937,63,238,442
4835,4835,1,2CMA,1,3,1,3,48,1154,2020,04/05/2006,"(17.624, -3.937, -6.965)",1937,63,238,442
4836,4836,1,2GYO,1,2,3,1,41,1058,2020,09/05/2006,"(44.53, 86.591, 64.389)",1631,51,54,1414
4837,4837,1,2GXQ,1,3,-,-,-,2007,2020,09/05/2006,"(-2.046, 3.993, 22.228)",4919,26,34,630
4838,4838,1,2GXS,1,3,-,-,-,1176,2020,09/05/2006,"(41.478, 4.244, -3.781)",4919,26,34,630
4839,4839,1,2GZ2,1,1,2,1,11,2387,2020,10/05/2006,"(15.1, 31.212, 31.77)",3736,20,69,195
4840,4840,1,2GZ1,1,1,2,1,11,1947,2020,10/05/2006,"(13.678, 49.163, 34.28)",3736,20,69,195
4841,4841,1,2GZ7,1,3,4,22,69,2238,2020,11/05/2006,"(0.0, -41.232, 0.0)",1716,24,12,2295
4842,4842,1,2GZD,1,3,6,5,2,1257,2020,11/05/2006,"(69.447, 19.612, 29.998)",4008,55,201,2598
4843,4843,1,2GZH,1,3,6,5,2,1362,2020,11/05/2006,"(32.305, 0.0, 37.466)",4008,55,201,2598
4844,4844,1,2GZL,1,4,6,1,12,1767,2020,11/05/2006,"(13.394, 13.271, 13.47)",4070,45,222,1501
4845,4845,1,2GZ8,1,3,4,22,69,2226,2020,11/05/2006,"(-0.0, -40.236, 0.0)",1716,24,12,2295
4846,4846,1,2H03,1,3,1,3,48,2954,2020,13/05/2006,"(39.151, 4.779, 30.956)",2058,63,238,442
4847,4847,1,2H04,1,3,1,3,48,1248,2020,13/05/2006,"(-5.666, 29.626, 20.789)",2058,63,238,442
4848,4848,1,2H12,1,2,3,3,1,2395,2020,15/05/2006,"(9.173, -46.29, -35.299)",4372,51,214,1351
4849,4849,1,2H1H,1,2,-,-,-,1710,2020,16/05/2006,"(41.823, 8.553, 5.797)",2072,5,78,2580
4850,4850,1,2H15,1,4,2,1,1,1785,2020,16/05/2006,"(-4.55, 2.331, 13.122)",97,57,267,46
4851,4851,1,2H1F,1,2,-,-,-,1384,2020,16/05/2006,"(12.247, 27.896, 50.564)",2072,5,78,2580
4852,4852,1,2H29,1,2,7,7,18,1574,2020,18/05/2006,"(29.657, 30.783, 10.196)",430,23,226,289
4853,4853,1,2CN5,1,2,7,11,1,1266,2020,18/05/2006,"(68.448, -38.828, 0.0)",1399,23,75,1063
4854,4854,1,2H2A,1,2,7,7,18,1545,2020,18/05/2006,"(10.046, 34.691, 20.179)",430,23,226,289
4855,4855,1,2CNE,1,3,1,3,48,1067,2020,21/05/2006,"(18.914, 32.556, 14.53)",1937,63,238,442
4856,4856,1,2CNF,1,3,1,3,48,1218,2020,21/05/2006,"(15.403, 18.902, 81.075)",1937,63,238,442
4857,4857,1,2CNH,1,3,1,3,48,1167,2020,21/05/2006,"(16.021, 20.13, 78.184)",1937,63,238,442
4858,4858,1,2CNI,1,3,1,3,48,1267,2020,21/05/2006,"(16.609, 18.186, 76.976)",1937,63,238,442
4859,4859,1,2CNG,1,3,1,3,48,1237,2020,21/05/2006,"(2.124, 9.76, 46.315)",1937,63,238,442
4860,4860,1,2H39,1,2,7,7,12,1076,2020,22/05/2006,"(38.543, -3.842, -5.288)",5025,23,226,2479
4861,4861,1,2H3E,1,2,1,3,2,2264,2020,22/05/2006,"(42.51, 29.064, 17.165)",1515,50,1,939
4862,4862,1,2H3D,1,2,4,2,12,2467,2020,22/05/2006,"(13.285, 7.387, 32.768)",3729,46,272,1767
4863,4863,1,2H3P,1,2,3,1,7,1590,2020,22/05/2006,"(72.617, 4.084, -6.062)",1947,51,54,915
4864,4864,1,2H3W,1,2,3,1,7,1810,2020,23/05/2006,"(70.238, 5.27, -5.119)",1947,51,54,915
4865,4865,1,2CNT,1,2,3,1,128,1010,2020,23/05/2006,"(-6.158, 44.36, 60.745)",4741,51,54,560
4866,4866,1,2CNS,1,2,3,1,128,1037,2020,23/05/2006,"(-8.884, -25.384, 50.398)",4741,51,54,560
4867,4867,1,2H44,1,3,1,4,35,1663,2020,23/05/2006,"(70.013, 27.003, 26.729)",1334,63,7,2290
4868,4868,1,2H3U,1,2,3,1,7,1578,2020,23/05/2006,"(72.818, 4.032, -6.078)",1947,51,54,915
4869,4869,1,2H4K,1,3,1,3,48,1393,2020,24/05/2006,"(45.867, 13.816, 1.878)",1937,63,238,442
4870,4870,1,2H4H,1,3,5,1,-,1432,2020,24/05/2006,"(7.968, 20.133, 10.196)",1504,21,273,186
4871,4871,1,2H4J,1,3,5,1,-,1287,2020,24/05/2006,"(11.256, 19.55, 8.774)",1504,21,273,186
4872,4872,1,2DQA,1,3,2,1,17,1350,2020,24/05/2006,"(43.464, 14.142, 22.231)",4522,44,178,2835
4873,4873,1,2H4F,1,3,5,1,-,1420,2020,24/05/2006,"(8.514, 20.412, 10.098)",1504,21,273,186
4874,4874,1,2H4G,1,3,1,3,48,1379,2020,24/05/2006,"(45.967, 13.739, 1.759)",1937,63,238,442
4875,4875,1,2H4Z,1,5,4,2,4,1729,2020,25/05/2006,"(41.747, 31.526, 68.962)",525,65,91,1789
4876,4876,1,2H52,1,5,4,2,4,1652,2020,25/05/2006,"(41.649, 31.153, 67.922)",525,65,91,1789
4877,4877,1,2H55,1,3,6,4,10,1494,2020,25/05/2006,"(2.528, 10.553, 25.272)",1567,55,150,2449
4878,4878,1,2ITV,1,2,7,10,1,1535,2020,25/05/2006,"(-49.855, -2.672, -23.159)",1421,23,202,752
4879,4879,1,2H59,1,3,5,1,-,1643,2020,25/05/2006,"(-8.514, 3.417, 0.572)",1504,21,273,186
4880,4880,1,2H4X,1,5,4,2,4,1673,2020,25/05/2006,"(41.24, 31.287, 67.97)",525,65,91,1789
4881,4881,1,2ITN,1,2,7,10,1,1544,2020,25/05/2006,"(-50.122, -2.694, -23.161)",1421,23,202,752
4882,4882,1,2DQS,1,3,6,3,8,2027,2020,29/05/2006,"(37.498, 0.487, 137.449)",1842,55,248,945
4883,4883,1,2DQM,1,3,4,11,2,2648,2020,29/05/2006,"(71.919, 47.803, 7.308)",566,24,114,1142
4884,4884,1,2IU8,1,2,3,1,-,2017,2020,30/05/2006,"(40.555, -86.691, -27.369)",2016,51,54,608
4885,4885,1,2H7R,1,1,14,15,1,2181,2020,02/06/2006,"(-36.912, -24.994, 64.402)",1405,14,4,1577
4886,4886,1,2H88,1,1,3,5,1,2557,2020,06/06/2006,"(23.649, 50.729, 35.417)",4024,68,211,1584
4887,4887,1,2H89,1,1,3,5,1,2518,2020,06/06/2006,"(19.637, 5.432, 123.811)",4024,68,211,1584
4888,4888,1,2H8G,1,3,2,2,16,1615,2020,07/06/2006,"(37.925, -3.107, 47.98)",4310,44,177,621
4889,4889,1,2IUT,1,7,-,-,-,2187,2020,07/06/2006,"(0.185, 6.24, -21.06)",5106,58,168,1318
4890,4890,1,2IUQ,1,1,4,99,4,2320,2020,07/06/2006,"(7.712, -1.546, 36.846)",2935,42,254,380
4891,4891,1,2IUW,1,1,14,11,-,1827,2020,07/06/2006,"(59.978, 0.0, -0.88)",4855,14,9,2629
4892,4892,1,2H8X,1,1,6,99,1,1963,2020,08/06/2006,"(29.03, 41.675, 61.354)",599,28,270,1300
4893,4893,1,2H92,1,2,7,4,14,1661,2020,08/06/2006,"(-24.917, 146.08, 42.733)",4921,23,213,1534
4894,4894,1,2IUZ,1,3,2,1,14,536,2020,08/06/2006,"(119.335, 76.648, -4.581)",3883,44,178,194
4895,4895,1,2H8Z,1,1,6,99,1,826,2020,08/06/2006,"(34.548, 14.329, 39.17)",599,28,270,1300
4896,4896,1,2H90,1,1,6,99,1,1595,2020,08/06/2006,"(17.967, 43.996, 51.239)",599,28,270,1300
4897,4897,1,2H9E,1,3,4,21,6,1506,2020,09/06/2006,"(32.672, -7.514, 66.587)",3356,24,158,2056
4898,4898,1,2H9I,1,1,3,1,9,2675,2020,09/06/2006,"(-24.484, 42.407, 23.404)",208,68,113,3015
4899,4899,1,2H9K,1,3,2,1,17,617,2020,10/06/2006,"(-1.637, 29.055, 3.492)",4998,44,178,2835
4900,4900,1,2H9J,1,3,2,1,17,611,2020,10/06/2006,"(-1.63, 28.954, 3.425)",4998,44,178,2835
4901,4901,1,2HAI,1,2,7,7,48,1203,2020,12/06/2006,"(41.119, 13.074, 56.995)",2157,23,226,2170
4902,4902,1,2HAH,1,3,4,23,16,1569,2020,12/06/2006,"(23.712, 0.0, -49.441)",1902,24,96,1093
4903,4903,1,2IVI,1,1,21,3,1,2086,2020,13/06/2006,"(10.478, 37.892, 4.835)",1814,13,180,1916
4904,4904,1,2IVJ,1,1,21,3,1,2084,2020,13/06/2006,"(10.648, 37.858, 5.02)",1814,13,180,1916
4905,4905,1,2HAW,1,3,6,1,1,2184,2020,13/06/2006,"(-12.303, -7.391, 125.457)",3824,55,228,1386
4906,4906,1,2HAL,1,3,4,22,28,803,2020,13/06/2006,"(-8.156, -10.566, 41.709)",1581,24,12,1281
4907,4907,1,2HB1,1,3,1,3,48,1459,2020,13/06/2006,"(45.816, 15.53, 2.778)",1937,63,238,442
4908,4908,1,2HB3,1,3,4,23,16,1429,2020,13/06/2006,"(13.048, 20.432, 16.844)",5402,24,96,1093
4909,4909,1,2HB9,1,3,5,2,6,1879,2020,14/06/2006,"(8.556, 50.995, 11.108)",2635,21,154,2565
4910,4910,1,2IVN,1,3,4,24,57,1709,2020,14/06/2006,"(3.053, 60.03, 10.838)",5370,24,265,820
4911,4911,1,2HBL,1,3,1,13,-,1605,2020,14/06/2006,"(68.07, 14.142, 12.316)",3297,63,233,1484
4912,4912,1,2IVP,1,3,4,24,57,1698,2020,14/06/2006,"(-27.985, 9.788, -10.538)",5370,24,265,820
4913,4913,1,2IVV,1,2,7,10,1,1730,2020,16/06/2006,"(35.82, 7.098, 0.0)",1568,23,202,752
4914,4914,1,2IVS,1,2,7,10,1,1543,2020,16/06/2006,"(7.11, 3.763, -3.102)",1568,23,202,752
4915,4915,1,2IVU,1,2,7,10,1,1522,2020,16/06/2006,"(-35.704, 9.989, 0.0)",1568,23,202,752
4916,4916,1,2HCT,1,3,2,2,5,1683,2020,18/06/2006,"(-4.079, 2.581, 0.355)",2179,44,177,2092
4917,4917,1,2HD1,1,3,1,4,35,1752,2020,19/06/2006,"(77.014, 51.196, 42.093)",1335,63,7,2290
4918,4918,1,2HD6,1,4,2,1,1,1686,2020,20/06/2006,"(-3.797, 4.707, 13.951)",97,57,267,46
4919,4919,1,2HDU,1,3,5,2,6,1156,2020,20/06/2006,"(40.886, 18.303, 30.309)",5457,21,154,2565
4920,4920,1,2HDQ,1,3,5,2,6,1357,2020,20/06/2006,"(32.228, -17.72, 25.173)",5457,21,154,2565
4921,4921,1,2HF8,1,7,-,-,-,1650,2020,23/06/2006,"(-4.82, 17.368, -31.122)",3816,58,168,1318
4922,4922,1,2DSA,1,2,5,1,18,1680,2020,24/06/2006,"(35.563, 12.011, -9.607)",1647,54,159,2814
4923,4923,1,2IW4,1,3,6,1,1,2139,2020,26/06/2006,"(-42.609, -98.134, 52.24)",3824,55,228,1386
4924,4924,1,2HGZ,1,6,1,1,1,1708,2020,27/06/2006,"(15.887, 15.887, 35.733)",1070,2,127,1681
4925,4925,1,2HHJ,1,5,4,2,4,1698,2020,28/06/2006,"(40.849, 31.547, 67.998)",525,65,91,1789
4926,4926,1,2HH9,1,2,7,6,2,1716,2020,28/06/2006,"(21.353, 45.411, 24.95)",3,23,41,2324
4927,4927,1,2HHP,1,2,7,7,19,604,2020,28/06/2006,"(-23.045, 3.234, -6.946)",5366,23,226,550
4928,4928,1,2HHA,1,3,4,14,5,2390,2020,28/06/2006,"(39.396, 49.044, 38.49)",2036,24,208,1154
4929,4929,1,2HIM,1,3,5,1,1,1818,2020,29/06/2006,"(-16.844, 16.51, 21.336)",2127,21,273,2798
4930,4930,1,2HIW,1,2,7,10,2,1550,2020,29/06/2006,"(0.632, 5.455, 34.274)",1419,23,202,2567
4931,4931,1,2HI8,1,7,-,-,-,722,2020,29/06/2006,"(29.517, 17.638, 41.179)",2582,58,168,1318
4932,4932,1,2HJ4,1,1,4,99,4,2270,2020,30/06/2006,"(22.601, 16.351, 28.421)",2935,42,254,380
4933,4933,1,2HJB,1,1,4,99,4,2268,2020,30/06/2006,"(22.423, 16.423, 28.518)",2935,42,254,380
4934,4934,1,2HJ9,1,3,1,3,-,2153,2020,30/06/2006,"(14.865, 3.277, 38.444)",2660,63,238,1176
4935,4935,1,2HK1,1,5,3,1,-,1441,2020,03/07/2006,"(37.21, 27.056, 106.215)",1190,40,40,41
4936,4936,1,2HKJ,1,5,99,1,3,1725,2020,04/07/2006,"(16.942, -1.267, -9.909)",938,7,23,1078
4937,4937,1,2HKK,1,4,2,1,1,1572,2020,05/07/2006,"(-4.153, 5.873, 10.569)",97,57,267,46
4938,4938,1,2IX0,1,3,1,13,1,1479,2020,05/07/2006,"(16.405, 7.533, 25.5)",2226,63,233,1734
4939,4939,1,2HL0,1,6,1,1,3,1994,2020,06/07/2006,"(-0.0, 38.612, 21.368)",5375,2,127,2034
4940,4940,1,2HL4,1,4,2,1,1,1707,2020,06/07/2006,"(-4.73, 5.122, 13.619)",97,57,267,46
4941,4941,1,2HKZ,1,6,1,1,3,1994,2020,06/07/2006,"(41.83, 34.772, 21.535)",5375,2,127,2034
4942,4942,1,2HL1,1,6,1,1,3,1432,2020,06/07/2006,"(22.958, 5.211, -3.964)",5375,2,127,2034
4943,4943,1,2IXA,1,3,2,1,49,2688,2020,07/07/2006,"(-6.852, 54.566, 24.952)",306,44,178,2482
4944,4944,1,2IXB,1,3,2,1,49,1919,2020,07/07/2006,"(-14.75, 41.621, -0.186)",306,44,178,2482
4945,4945,1,2IXC,1,5,1,3,13,1570,2020,07/07/2006,"(-2.086, 2.32, -15.248)",5082,79,65,281
4946,4946,1,2IXE,1,3,-,-,-,1510,2020,07/07/2006,"(-13.425, 28.427, -7.981)",2328,26,34,630
4947,4947,1,2IXI,1,5,-,-,-,1306,2020,08/07/2006,"(45.394, 28.442, 24.06)",5082,59,53,2227
4948,4948,1,2IXH,1,5,-,-,-,2000,2020,08/07/2006,"(0.0, 19.293, 27.342)",5082,59,53,2227
4949,4949,1,2HM1,1,3,4,23,46,1762,2020,10/07/2006,"(13.74, -4.264, 18.172)",2717,24,96,693
4950,4950,1,2HML,1,1,14,12,12,2418,2020,11/07/2006,"(0.0, 80.751, 80.157)",1613,14,38,1405
4951,4951,1,2HMK,1,1,14,12,12,2447,2020,11/07/2006,"(-0.0, 80.798, 80.381)",1613,14,38,1405
4952,4952,1,2IXU,1,3,2,1,17,1046,2020,11/07/2006,"(23.591, 59.189, 26.642)",1953,44,178,2835
4953,4953,1,2DT9,1,2,7,2,4,1428,2020,11/07/2006,"(14.201, 17.388, -32.094)",3149,23,219,1537
4954,4954,1,2HMN,1,1,14,12,12,2428,2020,11/07/2006,"(0.0, 80.516, 79.885)",1613,14,38,1405
4955,4955,1,2IXV,1,3,2,1,17,1056,2020,11/07/2006,"(23.608, 59.151, 26.501)",1953,44,178,2835
4956,4956,1,2HMO,1,1,14,12,12,2406,2020,11/07/2006,"(-0.0, 80.951, 80.46)",1613,14,38,1405
4957,4957,1,2HMM,1,1,14,12,12,2451,2020,11/07/2006,"(0.0, 80.67, 79.909)",1613,14,38,1405
4958,4958,1,2HND,1,2,7,7,49,1497,2020,12/07/2006,"(1.776, -36.638, 21.663)",1502,23,226,2727
4959,4959,1,2HNC,1,4,2,1,1,1799,2020,12/07/2006,"(-5.152, 2.386, 15.557)",97,57,267,46
4960,4960,1,2IYA,1,2,4,1,-,2017,2020,13/07/2006,"(33.11, 45.274, 43.576)",3555,46,193,825
4961,4961,1,2HNY,1,2,7,7,49,1490,2020,13/07/2006,"(1.861, -36.736, 21.592)",1502,23,226,2727
4962,4962,1,2IY7,1,2,4,99,4,1882,2020,13/07/2006,"(51.302, 16.912, 10.957)",3345,46,58,1936
4963,4963,1,2HNL,1,2,5,1,18,1187,2020,13/07/2006,"(8.662, 46.509, 18.885)",2528,54,159,2814
4964,4964,1,2HNK,1,2,-,-,-,1948,2020,13/07/2006,"(37.643, -14.026, 22.112)",4481,5,78,2580
4965,4965,1,2IY8,1,2,4,99,4,1876,2020,13/07/2006,"(19.616, 15.732, 41.948)",3345,46,58,1936
4966,4966,1,2HOG,1,2,7,11,1,1212,2020,14/07/2006,"(17.275, -2.132, 9.859)",983,23,75,1063
4967,4967,1,2HOC,1,4,2,1,1,1642,2020,14/07/2006,"(-3.734, 5.37, 14.627)",97,57,267,46
4968,4968,1,2HP1,1,5,4,3,8,2752,2020,17/07/2006,"(6.221, 19.555, -32.649)",2229,65,31,512
4969,4969,1,2HOZ,1,5,4,3,8,2798,2020,17/07/2006,"(6.284, 20.142, -32.338)",2229,65,31,512
4970,4970,1,2HPT,1,3,4,11,2,2667,2020,17/07/2006,"(65.696, -18.024, -7.326)",566,24,114,1142
4971,4971,1,2HQU,1,3,6,1,23,1734,2020,19/07/2006,"(26.326, -9.266, 13.927)",2281,55,228,1278
4972,4972,1,2HQM,1,1,8,1,7,1956,2020,19/07/2006,"(8.17, 22.273, -16.391)",2381,17,246,1576
4973,4973,1,2HS1,1,3,4,23,16,1662,2020,20/07/2006,"(1.459, 8.121, 37.658)",5402,24,96,1093
4974,4974,1,2DU8,1,1,4,3,3,1883,2020,20/07/2006,"(38.074, 24.939, 10.427)",1408,42,39,925
4975,4975,1,2HS2,1,3,4,23,16,1429,2020,20/07/2006,"(1.437, 8.006, 37.826)",5402,24,96,1093
4976,4976,1,2HRE,1,4,99,1,1,2125,2020,20/07/2006,"(3.34, 13.618, -15.644)",2047,33,221,980
4977,4977,1,2HS6,1,1,3,1,42,2161,2020,21/07/2006,"(2.944, 6.278, 0.403)",4553,68,113,627
4978,4978,1,2HS8,1,1,3,1,42,1831,2020,21/07/2006,"(21.655, -7.648, -13.758)",4553,68,113,627
4979,4979,1,2HS3,1,6,3,5,3,2257,2020,21/07/2006,"(42.641, 11.067, 93.869)",5435,36,104,1928
4980,4980,1,2IYQ,1,2,7,1,71,1099,2020,21/07/2006,"(23.466, -31.875, 29.894)",3080,23,148,2589
4981,4981,1,2HSA,1,1,3,1,42,2323,2020,21/07/2006,"(-7.702, 4.753, 64.848)",4553,68,113,627
4982,4982,1,2IYS,1,2,7,1,71,1184,2020,21/07/2006,"(14.196, 19.851, 34.297)",3080,23,148,2589
4983,4983,1,2IYO,1,1,1,1,44,2246,2020,21/07/2006,"(38.797, 12.578, 40.522)",4519,29,191,2863
4984,4984,1,2IYW,1,2,7,1,71,1021,2020,22/07/2006,"(36.296, 17.529, -5.031)",3080,23,148,2589
4985,4985,1,2IYX,1,2,7,1,71,1303,2020,22/07/2006,"(2.78, 34.875, 19.125)",3080,23,148,2589
4986,4986,1,2IYU,1,2,7,1,71,1011,2020,22/07/2006,"(15.678, 4.614, 35.52)",3080,23,148,2589
4987,4987,1,2IYZ,1,2,7,1,71,999,2020,22/07/2006,"(-11.883, 33.574, 18.2)",3080,23,148,2589
4988,4988,1,2IYV,1,2,7,1,71,1015,2020,22/07/2006,"(36.712, 17.338, -4.137)",3080,23,148,2589
4989,4989,1,2IYY,1,2,7,1,71,1334,2020,22/07/2006,"(1.997, 34.807, 19.044)",3080,23,148,2589
4990,4990,1,2IZ1,1,1,1,1,44,1371,2020,23/07/2006,"(14.221, 5.354, 50.62)",4519,29,191,2863
4991,4991,1,2HT5,1,3,2,1,18,1235,2020,25/07/2006,"(90.52, -0.0, 147.267)",3372,44,178,1459
4992,4992,1,2HT8,1,3,2,1,18,2596,2020,25/07/2006,"(0.0, 0.0, -21.892)",3372,44,178,1459
4993,4993,1,2HU8,1,3,4,19,1,2306,2020,26/07/2006,"(1.968, 28.653, 25.741)",5495,24,11,2558
4994,4994,1,2HTU,1,3,2,1,18,2608,2020,26/07/2006,"(44.86, 44.86, 8.969)",3372,44,178,1459
4995,4995,1,2HTY,1,3,2,1,18,834,2020,26/07/2006,"(5.612, 69.196, 127.844)",3372,44,178,1459
4996,4996,1,2HU7,1,3,4,19,1,2293,2020,26/07/2006,"(0.023, 25.142, 25.823)",5495,24,11,2558
4997,4997,1,2HU4,1,3,2,1,18,1952,2020,26/07/2006,"(0.383, 81.705, 109.195)",3372,44,178,1459
4998,4998,1,2HU6,1,3,4,24,65,1056,2020,26/07/2006,"(3.897, -7.62, 5.414)",2048,24,265,1834
4999,4999,1,2HU5,1,3,4,19,1,2371,2020,26/07/2006,"(0.31, 25.431, 25.0)",5495,24,11,2558
5000,5000,1,2HUI,1,2,6,1,44,2276,2020,26/07/2006,"(-35.298, -17.761, -16.733)",3571,37,80,1409
5001,5001,1,2HUO,1,1,13,99,1,1790,2020,27/07/2006,"(33.21, 20.739, 31.977)",5341,72,131,805
