enzyme_name,centers,plddt_res,plddt_atom,representative,enzyme_class,mainclass,subclass,subsubclass,designation,uniq_designation,uniq_fold,hierarchical
AF_Q08CW1,"(-3.963, 16.2034, 5.6473)",75.8942180774749,77.19132515119175,Q86UE8,2.7.11.1,2,7,11,1,1648,2695,1
AF_P42577,"(-5.7574, -5.2444, 1.6617)",96.86126436781608,97.1320268361582,P25320,1.16.3.1,1,16,3,1,503,566,23
AF_A8N339,"(12.6059, 0.5425, -1.8383)",92.57498905908098,92.55430514005984,A8N339,2.1.1.228,2,1,1,228,989,2696,14
AF_P44922,"(-1.2055, 5.2606, -2.2581)",88.67534939759035,88.5838381995134,Q8SR63,3.6.4.13,3,6,4,13,2642,453,6
AF_Q54Y55,"(10.0291, -5.7609, -18.8806)",86.99652173913042,87.61431025896412,Q54RB7,2.7.11.1,2,7,11,1,1648,2700,1
AF_Q9SGA5,"(-12.057, -4.952, -7.1605)",86.5668493150685,86.64658333333335,Q9SGA5,3.4.19.12,3,4,19,12,2254,2703,24
AF_B9E156,"(4.0595, -2.3424, 0.9811)",98.01216545012166,98.00233996270975,Q03Y25,2.1.2.1,2,1,2,1,1075,138,7
AF_Q9FJ55,"(1.7496, 3.609, 5.8465)",72.4516149068323,72.99423066909658,Q2RBF0,2.7.11.1,2,7,11,1,1648,782,1
AF_A7GAI7,"(-25.8689, -2.7035, 28.2909)",88.1549652173913,88.24910926870749,B8I2Y3,3.6.4.12,3,6,4,12,2641,2438,0
AF_Q18GX5,"(7.4528, 4.624, -10.7094)",86.47415857605178,86.76648683092608,B8DZX8,6.5.1.1,6,5,1,1,3365,609,27
AF_Q2GDJ1,"(-7.4134, 5.4619, 16.2112)",88.32549222797927,88.7314953886693,Q7MA70,3.6.4.12,3,6,4,12,2641,15,0
AF_Q5ZMN2,"(13.8468, 4.7079, -26.0702)",73.90625615763547,73.9284924230589,Q28BS0,3.6.4.12,3,6,4,12,2641,2464,0
AF_Q5PAV3,"(-4.0864, 7.6463, -3.2446)",96.09681388012618,95.99452910958904,Q838C9,1.1.1.37,1,1,1,37,110,529,21
AF_P58277,"(-14.055, 3.1468, -4.1852)",93.9591707317073,93.99434567901235,A0LDT4,3.4.21.92,3,4,21,92,2314,189,11
AF_Q4R8T9,"(-7.8675, 5.3208, 10.215)",64.3045254237288,64.78682627118644,Q4R7T5,2.7.11.22,2,7,11,22,1660,1004,35
AF_Q9HBJ7,"(-0.9814, 12.1294, -13.6075)",58.96859002169197,59.5039367816092,Q9ES63,3.4.19.12,3,4,19,12,2254,2727,24
AF_B1YVH2,"(0.2906, 10.4543, -11.1663)",90.24207792207793,91.40008853118712,A9B4J6,1.13.11.11,1,13,11,11,254,378,19
AF_Q0DVX2,"(-0.6039, 7.3155, 0.2653)",69.92326053042122,70.54648311897107,Q0DVX2,3.6.4.13,3,6,4,13,2642,2730,6
AF_Q5FMC0,"(-2.0826, 7.3939, 0.4057)",97.60885644768858,97.6159353421218,Q03Y25,2.1.2.1,2,1,2,1,1075,138,7
AF_B5YK96,"(12.565, 7.6813, -1.6939)",94.20333333333336,94.29636231180186,B2V6N2,2.1.1.228,2,1,1,228,989,238,14
AF_A8AGY5,"(2.2296, 5.1927, -10.1481)",96.40004166666668,96.41494594594596,P0AFS4,1.5.1.3,1,5,1,3,752,2597,54
AF_A9MAE5,"(2.3858, 0.7283, 5.3608)",97.08397260273972,97.1997618329816,Q03Y25,2.1.2.1,2,1,2,1,1075,138,7
AF_Q9FHX3,"(-15.9089, -5.1976, 2.8868)",77.9851953690304,77.935368928439,O04534,2.7.11.1,2,7,11,1,1648,705,1
AF_O94487,"(4.1925, -0.0984, 5.1202)",70.6350641025641,71.12248887168569,O94487,2.7.11.1,2,7,11,1,1648,2736,1
AF_A0KE56,"(2.949, 5.1275, -11.0471)",97.9325,97.91350412752634,A1A0H0,5.3.1.5,5,3,1,5,3131,475,22
AF_C5BCJ5,"(25.1414, 22.8015, -5.5941)",89.79334872979216,89.8626962962963,B4SLN0,5.2.1.8,5,2,1,8,3108,775,9
AF_P07901,"(17.6351, 12.6082, -31.7767)",85.2406412005457,85.54072424802554,P82995,3.6.4.10,3,6,4,10,2640,2470,52
AF_Q1H149,"(2.3092, 7.5178, 20.1218)",95.14334285714284,94.91558506543495,Q1H149,2.3.1.191,2,3,1,191,1150,1894,48
AF_Q9A6H0,"(-7.8153, 0.6443, 7.2203)",94.96232974910392,95.31665617977528,Q6QGJ5,2.1.1.45,2,1,1,45,1044,547,26
AF_Q9ZD33,"(-3.298, 4.4297, -4.875)",93.8818263473054,93.78190729483282,Q4JCM0,1.18.1.2,1,18,1,2,532,104,5
AF_Q8DWE0,"(11.2412, 8.6303, -10.0447)",90.100819112628,90.09098542024014,P63983,2.7.7.7,2,7,7,7,1763,2751,2
AF_A1CMH6,"(17.7708, 3.5382, 3.1777)",85.77949523809524,85.42345421020283,A1CMH6,3.2.1.21,3,2,1,21,2112,2198,12
AF_Q50000,"(-4.1687, 1.2664, -10.7077)",90.11726283048212,90.12161256977464,Q5WF63,2.2.1.7,2,2,1,7,1104,311,17
AF_O83814,"(6.6603, 4.1606, 5.1708)",96.26,96.19210224308816,P50614,3.4.11.18,3,4,11,18,2203,2212,41
AF_A5N4L1,"(11.9084, -1.0565, -8.2994)",94.3448406374502,94.26639368165247,Q03Z44,6.1.1.6,6,1,1,6,3256,260,15
AF_Q92IB5,"(-7.2477, -6.4781, 3.2846)",94.1217816091954,94.29154356060606,Q9ZDF8,6.1.1.6,6,1,1,6,3256,2759,15
AF_B0XXE7,"(-9.1835, 9.4525, -10.227)",94.42169139465874,94.6785041061276,B6QHA9,3.2.1.23,3,2,1,23,2114,2760,53
AF_Q92620,"(8.9957, 4.8094, -10.5036)",68.41964955175224,68.20701763275234,F4K2E9,3.6.4.13,3,6,4,13,2642,2174,6
AF_Q3SZ54,"(-10.3806, 7.3736, -3.2556)",87.02721674876848,87.45076066790352,Q8SR63,3.6.4.13,3,6,4,13,2642,453,6
AF_Q7PLI7,"(-13.2173, 1.7875, 11.5236)",66.53590909090909,67.52915280397873,Q7PLI7,2.7.11.1,2,7,11,1,1648,2763,1
AF_Q55CJ3,"(-9.2638, 8.3318, -6.4106)",92.79612307692308,92.93678369195923,Q6BU97,5.2.1.8,5,2,1,8,3108,2667,9
AF_Q3SVE4,"(4.4939, 5.4811, 1.5984)",96.49414965986394,96.52100188146754,B4U8W9,1.5.1.5,1,5,1,5,767,294,16
AF_Q3SVE4,"(4.4939, 5.4811, 1.5984)",96.49414965986394,96.52100188146754,B4U8W9,1.5.1.5,1,5,1,5,767,294,16
AF_A7HDC5,"(-0.6109, 2.5889, -3.5204)",96.71444839857652,96.7097928709056,B4U8W9,1.5.1.5,1,5,1,5,767,294,16
AF_A7HDC5,"(-0.6109, 2.5889, -3.5204)",96.71444839857652,96.7097928709056,B4U8W9,1.5.1.5,1,5,1,5,767,294,16
AF_A4SJP9,"(6.3635, -2.0518, -3.6889)",91.74305958132044,91.95107948555766,Q5WF63,2.2.1.7,2,2,1,7,1104,311,17
AF_Q01QZ0,"(0.4479, 6.4014, 1.9915)",97.4692723004695,97.46775298073985,Q03Y25,2.1.2.1,2,1,2,1,1075,138,7
AF_Q05B57,"(-15.9945, 1.6172, 12.9763)",81.34655172413794,82.50545147995504,P43558,3.4.19.12,3,4,19,12,2254,2773,24
AF_B0SEF8,"(1.7988, -2.2252, 3.993)",97.7098798076923,97.65972718720602,Q03Y25,2.1.2.1,2,1,2,1,1075,138,7
AF_C1KWW9,"(0.6967, 0.6021, 2.4418)",95.02013661202189,95.01523759972248,Q9F364,2.5.1.72,2,5,1,72,1472,1906,49
AF_E1BB50,"(-0.85, 6.6681, -11.9795)",54.07521360759494,54.62596177184466,D2H526,2.7.11.22,2,7,11,22,1660,2775,35
AF_Q3B5A5,"(2.1838, -0.4364, -5.9699)",96.7405865921788,96.72920256318972,Q9RVZ8,2.3.1.31,2,3,1,31,1200,2776,38
AF_Q26486,"(-12.0765, -0.2267, 11.0071)",71.76577669902913,71.53124026176378,Q54NB6,5.2.1.8,5,2,1,8,3108,2780,9
AF_Q60MK8,"(-19.0803, 15.0343, 13.6938)",83.80193976970769,84.01324491792587,Q6A4J8,3.4.19.12,3,4,19,12,2254,627,24
AF_Q9PR83,"(8.1166, 0.6468, -13.3092)",95.244523326572,95.24946574325996,Q03Z44,6.1.1.6,6,1,1,6,3256,260,15
AF_Q8N165,"(8.5255, -2.4992, 0.3632)",86.80475073313782,87.23686136783734,Q6NU98,2.7.11.1,2,7,11,1,1648,2786,1
AF_Q2IEW0,"(-39.7778, 17.9862, 8.3692)",91.15834498834498,91.13976520168576,Q5WEN8,5.2.1.8,5,2,1,8,3108,173,9
AF_Q9BYX4,"(15.0453, -0.9357, -16.3098)",79.65893658536584,80.34133561643836,O95786,3.6.4.13,3,6,4,13,2642,2687,6
AF_Q5V5F7,"(-9.0907, -5.7492, -5.6631)",80.6436231884058,80.97506804793825,Q9HPZ2,3.6.4.12,3,6,4,12,2641,2793,0
AF_B0CIR8,"(1.3911, 0.8531, -9.9003)",93.57159836065574,93.75627190653212,B2V6N2,2.1.1.228,2,1,1,228,989,238,14
AF_A1L2G3,"(2.9686, -8.067, -19.3215)",61.18308609271523,62.302952267708505,A1L2G3,3.4.19.12,3,4,19,12,2254,2797,24
AF_Q9ZVN4,"(5.5981, -2.7638, -8.1015)",80.78888372093023,81.3046956521739,Q9ZVN4,3.1.3.48,3,1,3,48,1978,2799,30
AF_P53819,"(-38.7598, 11.1838, -28.7716)",61.757536309844,62.416772279897536,P40889,3.6.4.12,3,6,4,12,2641,2802,0
AF_Q29465,"(-5.9236, 6.1363, 0.0054)",90.6836553030303,91.04449435503244,Q29465,6.1.1.1,6,1,1,1,3234,2803,3
AF_Q0TP32,"(0.6512, 7.8637, 3.6639)",97.9169024390244,97.90016666666668,Q03Y25,2.1.2.1,2,1,2,1,1075,138,7
AF_Q0IHV9,"(2.9014, 0.3068, 7.2298)",84.0666528066528,85.03752972258917,Q94BV4,3.6.4.13,3,6,4,13,2642,660,6
AF_Q2UN27,"(8.3935, 2.4772, -5.6887)",79.96104602510461,81.17198804997284,Q4I0M9,5.2.1.8,5,2,1,8,3108,2807,9
AF_Q5FG30,"(-3.0089, 7.214, -0.9245)",97.5341567695962,97.5224100830003,Q03Y25,2.1.2.1,2,1,2,1,1075,138,7
AF_Q53NF0,"(1.9681, -0.1136, -8.1145)",87.83275154004106,88.05774873096446,Q7XKV5,3.2.1.21,3,2,1,21,2112,351,12
AF_Q038K0,"(2.6174, 7.0377, -11.2751)",95.73203921568629,95.8651024390244,B2V6N2,2.1.1.228,2,1,1,228,989,238,14
AF_Q5FMI6,"(3.2468, -2.5883, -7.1345)",93.33157142857142,93.64812649164678,Q5E424,6.1.1.1,6,1,1,1,3234,46,3
AF_B1N044,"(-2.1301, 5.2275, -1.7634)",96.82485815602836,96.81951008645534,B4U8W9,1.5.1.5,1,5,1,5,767,294,16
AF_B1N044,"(-2.1301, 5.2275, -1.7634)",96.82485815602836,96.81951008645534,B4U8W9,1.5.1.5,1,5,1,5,767,294,16
AF_P30063,"(-15.7193, 8.0788, 3.0869)",93.7459693877551,93.7092164418754,Q6L377,3.4.21.92,3,4,21,92,2314,576,11
AF_P56986,"(1.8715, 1.8532, -6.2108)",95.93758112094396,96.0799001919386,Q6ZDJ7,5.1.3.2,5,1,3,2,3082,2816,55
AF_C1CB34,"(-0.2424, -5.1429, -1.8139)",91.69656626506024,91.70355640535372,B1AJ89,3.6.4.12,3,6,4,12,2641,2,0
AF_Q3Z8X9,"(10.218, -0.7138, -11.3935)",93.24054216867472,93.1096984166876,Q03Z44,6.1.1.6,6,1,1,6,3256,260,15
AF_B0CQN7,"(-1.9519, -2.0603, -12.9825)",92.12,92.3221103622578,P0CP14,1.6.2.2,1,6,2,2,801,2259,51
AF_D3Z4R1,"(6.63, 10.3116, -19.2506)",65.65453277545328,66.12497264866772,A2PYH4,3.6.4.12,3,6,4,12,2641,2817,0
AF_P44830,"(-4.2605, -0.3358, 1.2111)",76.59768421052631,77.21488628532046,O25748,5.2.1.8,5,2,1,8,3108,2821,9
AF_A0AJP7,"(1.0276, 3.8506, -11.7455)",95.92922448979591,96.042602739726,B2V6N2,2.1.1.228,2,1,1,228,989,238,14
AF_A3CWP1,"(6.0859, 4.1601, -10.6776)",91.68602189781022,91.77354771302532,B8DZX8,6.5.1.1,6,5,1,1,3365,609,27
AF_Q75C76,"(-11.561, -5.2983, 0.3927)",76.77266055045872,77.16959288800265,Q54Q94,3.6.4.13,3,6,4,13,2642,2826,6
AF_Q8NER5,"(-0.6587, 4.398, 7.2567)",84.70764705882353,85.2401043569006,P27040,2.7.11.30,2,7,11,30,1666,1773,47
AF_Q6BLJ9,"(-10.1127, 5.0722, -10.0166)",64.41790502793296,65.02098553191489,Q6BLJ9,2.7.11.1,2,7,11,1,1648,2403,1
AF_A5F3R4,"(1.0047, 3.0455, 5.7909)",86.67968036529682,86.77359248554913,Q8SR63,3.6.4.13,3,6,4,13,2642,453,6
AF_P23989,"(8.3894, 8.0509, 11.5705)",95.39261208576998,95.49363054246707,P70753,3.2.1.23,3,2,1,23,2114,2829,53
AF_Q8CIW5,"(-8.4719, -8.4068, -3.6608)",78.62588321167883,79.09794659300184,Q8CIW5,3.6.4.12,3,6,4,12,2641,2831,0
AF_Q7U345,"(5.9151, 7.546, -6.2808)",95.80576612903226,95.84877122877124,B2V6N2,2.1.1.228,2,1,1,228,989,238,14
AF_Q9L3G6,"(2.2408, 2.088, -13.5143)",94.46037623762376,94.54402448163876,Q03Z44,6.1.1.6,6,1,1,6,3256,260,15
AF_Q889Q1,"(8.2661, -0.6438, -3.2012)",91.52629160063393,91.46664300626304,Q5WF63,2.2.1.7,2,2,1,7,1104,311,17
AF_B2USM3,"(3.2943, -6.2501, -0.5743)",90.97080357142856,90.87506493506493,B1AJ89,3.6.4.12,3,6,4,12,2641,2,0
AF_E9QG68,"(-26.476, -14.9454, -19.615)",67.25579078455792,67.78405829596412,Q70EL2,3.4.19.12,3,4,19,12,2254,2571,24
AF_O08875,"(-0.8122, -0.9621, 10.8599)",78.49967667436489,79.2075499850791,O08875,2.7.11.1,2,7,11,1,1648,2843,1
AF_P0C5K0,"(-7.6869, 5.441, 7.9289)",84.7639058171745,85.05798545454545,P0C264,2.7.11.1,2,7,11,1,1648,2844,1
AF_Q68FK8,"(7.9316, 6.2835, -9.7319)",80.64706814580032,81.44322610015175,P24785,3.6.4.13,3,6,4,13,2642,2845,6
AF_Q28560,"(8.455, -0.9378, 10.214)",82.8292007797271,83.60378238341968,P27040,2.7.11.30,2,7,11,30,1666,1773,47
AF_B1MZT4,"(2.1488, 8.4215, -6.047)",95.15825726141078,95.28239458615305,B2V6N2,2.1.1.228,2,1,1,228,989,238,14
AF_Q1CAR9,"(4.7139, 4.8128, -6.5189)",97.97560606060608,98.02743529411764,Q6QGJ5,2.1.1.45,2,1,1,45,1044,547,26
AF_A1BE30,"(4.5539, 1.7845, 2.8748)",97.05668181818184,97.0526472337894,Q03Y25,2.1.2.1,2,1,2,1,1075,138,7
AF_Q27474,"(-0.4383, 0.043, -17.0246)",78.8525873221216,79.0267101138426,Q27474,6.5.1.1,6,5,1,1,3365,2850,27
AF_Q2YBR1,"(-9.6969, 6.6522, -1.8818)",91.96151364764268,92.037256442489,Q9PGX7,6.1.1.1,6,1,1,1,3234,1752,3
AF_Q82HS2,"(0.6671, 8.87, 4.5413)",97.2309726443769,97.25561425061426,B6IZN7,1.1.1.37,1,1,1,37,110,721,21
AF_Q81GP9,"(-2.2982, -11.0117, -16.9364)",87.85287671232877,88.01647720485765,A7Z368,3.6.4.12,3,6,4,12,2641,2418,0
AF_A6WSM1,"(4.991, -2.5133, 6.0395)",96.95083601286171,96.98146027518862,P83778,1.1.1.37,1,1,1,37,110,458,21
AF_A3CN08,"(2.9647, 0.4658, 5.0799)",97.45640476190476,97.40718827930176,Q03Y25,2.1.2.1,2,1,2,1,1075,138,7
AF_Q56X76,"(-6.3755, 8.3971, -4.7009)",74.38075684380031,74.731709384043,Q56X76,3.6.4.13,3,6,4,13,2642,2863,6
AF_O13682,"(-17.8393, 7.4998, 21.9976)",67.4436801242236,68.09794942485026,Q6CJ38,3.6.4.12,3,6,4,12,2641,2871,0
AF_Q0SG75,"(9.5257, -1.03, -1.6766)",91.7844731610338,91.85939504563234,B8DZX8,6.5.1.1,6,5,1,1,3365,609,27
AF_Q1LP48,"(1.4092, 5.952, 0.9267)",96.58687719298248,96.6117389232968,B4U8W9,1.5.1.5,1,5,1,5,767,294,16
AF_Q1LP48,"(1.4092, 5.952, 0.9267)",96.58687719298248,96.6117389232968,B4U8W9,1.5.1.5,1,5,1,5,767,294,16
AF_P0CAX0,"(-3.3822, 6.5761, -43.0278)",93.14449115044248,93.32098515134209,Q2W3H8,5.2.1.8,5,2,1,8,3108,1148,9
AF_Q7MN19,"(4.3689, 0.2438, 2.3542)",97.8913221153846,97.9096420722135,Q03Y25,2.1.2.1,2,1,2,1,1075,138,7
AF_Q9V0A9,"(10.5652, -2.2218, -5.7189)",92.77702097902096,92.88992916378712,P0DMI1,3.6.4.12,3,6,4,12,2641,2875,0
AF_P87324,"(7.2324, -8.4272, -3.5518)",86.63209956709956,86.90774882173551,O48520,2.7.7.7,2,7,7,7,1763,2876,2
AF_A1JT10,"(3.1569, 2.0828, -10.8097)",97.89610478359909,97.90891466208478,A1A0H0,5.3.1.5,5,3,1,5,3131,475,22
AF_A1VZE7,"(5.0372, -4.7025, -2.9537)",90.3211475409836,90.48664756446992,Q7MA70,3.6.4.12,3,6,4,12,2641,15,0
AF_Q9I2U2,"(10.0068, 32.2553, -21.2298)",91.74032110091744,91.9395258999122,B4SLN0,5.2.1.8,5,2,1,8,3108,775,9
AF_Q42972,"(2.3399, 12.4269, 1.8364)",91.71786516853932,91.72880825057295,Q9SN86,1.1.1.37,1,1,1,37,110,2883,21
AF_A6U2E3,"(-16.1544, -27.0169, 28.0011)",92.11196304849884,92.12944688323088,Q5WEN8,5.2.1.8,5,2,1,8,3108,173,9
AF_A5N628,"(-4.7362, 4.5898, -8.4046)",85.81636437246964,85.97753339882124,A7Z368,3.6.4.12,3,6,4,12,2641,2418,0
AF_Q1H003,"(3.6448, 4.2835, 4.3637)",97.76120481927713,97.81009499683344,Q03Y25,2.1.2.1,2,1,2,1,1075,138,7
AF_Q6DT37,"(-43.6408, -0.5348, 16.8303)",73.28094132817536,73.88460314843813,Q80UW5,2.7.11.1,2,7,11,1,1648,2126,1
AF_A6RJA2,"(-3.1355, 2.5378, 2.2973)",75.63577266922096,76.30295669487307,A4RK80,3.6.4.13,3,6,4,13,2642,1845,6
AF_Q09831,"(5.2003, 6.9039, -4.9765)",67.03754416961131,67.69716074223118,Q09831,2.7.11.1,2,7,11,1,1648,2891,1
AF_C3LNM7,"(-0.9667, 23.9392, -32.1513)",91.1236258660508,91.29256532066508,B4SLN0,5.2.1.8,5,2,1,8,3108,775,9
AF_Q6CKE9,"(2.8711, -0.8519, 4.5505)",81.84710706150342,82.50961707988982,Q5XI06,2.3.1.48,2,3,1,48,1211,323,18
AF_A1T7P4,"(-7.0526, -5.4216, -9.2045)",97.69932330827068,97.77450518378888,Q6QGJ5,2.1.1.45,2,1,1,45,1044,547,26
AF_Q55A55,"(1.8548, 9.0291, 6.3282)",69.50755578093306,70.37407206509104,Q55A55,2.7.11.1,2,7,11,1,1648,2901,1
AF_Q6CSZ7,"(0.0601, 6.5247, 0.4949)",79.80186770428016,79.70749210973538,P0CQ81,3.6.4.13,3,6,4,13,2642,2902,6
AF_Q32JJ3,"(10.6288, 0.9925, -2.9268)",92.7862801932367,92.67080764488288,Q7UK67,3.4.21.92,3,4,21,92,2314,1547,11
AF_Q6HAW9,"(2.88, 6.6365, 4.1462)",98.02229468599032,98.02289523212043,Q03Y25,2.1.2.1,2,1,2,1,1075,138,7
AF_Q9SJA1,"(6.4548, 17.8894, 3.2012)",68.94153273809525,69.73956447963802,Q67XW5,3.4.19.12,3,4,19,12,2254,2913,24
AF_B4RIW3,"(2.3705, 1.0155, -12.9811)",95.51795180722893,95.56758955987718,B2V6N2,2.1.1.228,2,1,1,228,989,238,14
AF_P40926,"(-11.8036, -3.5688, -5.3796)",93.54112426035502,93.5640739252712,P83778,1.1.1.37,1,1,1,37,110,458,21
AF_A4YKC5,"(6.0016, 6.7902, 3.808)",96.44888198757764,96.4358779264214,Q838C9,1.1.1.37,1,1,1,37,110,529,21
AF_Q3IIJ2,"(5.4207, -1.4519, 3.5324)",91.13540298507463,91.18048836322016,B1AJ89,3.6.4.12,3,6,4,12,2641,2,0
AF_P30405,"(-8.8813, -4.0331, -9.1712)",88.30202898550723,88.91998707175178,P30404,5.2.1.8,5,2,1,8,3108,1283,9
AF_Q5AHG6,"(0.1259, 10.7659, 0.4799)",67.00540025412961,67.292312849162,Q5AHG6,2.7.11.1,2,7,11,1,1648,2926,1
AF_Q6CDN5,"(-3.4349, -0.6015, 0.3958)",69.75205930807249,69.80657839866555,Q6CDN5,3.6.4.13,3,6,4,13,2642,2929,6
AF_Q4JAM1,"(5.7709, 5.5477, -0.8119)",91.8507525083612,91.93541211101768,B8DZX8,6.5.1.1,6,5,1,1,3365,609,27
AF_Q9H5Z1,"(-10.725, -6.2065, 16.1701)",86.87650071123755,87.16670751486754,F4JRJ6,3.6.4.13,3,6,4,13,2642,1171,6
AF_A2RN61,"(6.9157, 7.2812, -5.8034)",93.1885893416928,93.21898183194548,E3HDJ8,2.3.1.31,2,3,1,31,1200,1438,38
AF_Q9FN42,"(-5.3105, -9.7327, -10.5972)",86.59236514522823,87.10848287112562,A0LDT4,3.4.21.92,3,4,21,92,2314,189,11
AF_Q99TG5,"(-19.6805, -2.5043, 9.7509)",95.41933333333331,95.53452817379495,P73534,2.7.1.40,2,7,1,40,1614,1034,8
AF_Q54TA3,"(4.9143, -8.2043, 1.2568)",65.04637774902976,65.54577508090615,Q54TA3,2.7.11.1,2,7,11,1,1648,2943,1
AF_Q5W5U4,"(-6.6792, 11.0018, -0.6192)",68.0879561042524,68.85640272303834,P34689,3.6.4.13,3,6,4,13,2642,1873,6
AF_A9NC98,"(-1.3398, 20.0639, 7.0402)",95.7356432748538,95.54501968503938,Q1H149,2.3.1.191,2,3,1,191,1150,1894,48
AF_Q6M0K7,"(-2.7036, -3.0559, -5.4336)",95.11269592476488,95.12270676691728,O29482,6.1.1.1,6,1,1,1,3234,1315,3
AF_P18961,"(3.58, 11.9428, -5.2316)",77.53407680945347,77.947176122713,J9W0G9,2.7.11.1,2,7,11,1,1648,2951,1
AF_F4HQ23,"(3.9766, -17.6723, -11.1848)",77.56499433748584,77.5805255558764,Q3ECH2,2.7.11.1,2,7,11,1,1648,2955,1
AF_Q56301,"(-9.046, -4.8309, 8.4905)",94.50252631578948,94.47947012706136,P70789,2.7.1.40,2,7,1,40,1614,142,8
AF_B8I164,"(8.7305, 6.1077, -6.0349)",93.3498366013072,93.37674308300394,E3HDJ8,2.3.1.31,2,3,1,31,1200,1438,38
AF_P0C1S8,"(2.95, 5.6806, -7.7018)",67.00992945326279,67.47087723264751,E1BTE1,2.7.10.2,2,7,10,2,1647,1323,39
AF_Q7NQB7,"(-5.5949, 9.0779, 1.2334)",88.98401015228426,89.65444292549556,Q7MA70,3.6.4.12,3,6,4,12,2641,15,0
AF_Q9JIX5,"(11.7378, -9.2331, -0.3994)",53.72786516853933,54.97048229936836,Q06A37,3.6.4.12,3,6,4,12,2641,1650,0
AF_Q8K990,"(4.703, 1.9802, -8.02)",95.7618781725888,95.68893020221788,A0LDT4,3.4.21.92,3,4,21,92,2314,189,11
AF_P56102,"(3.1509, 2.3797, 6.5614)",98.15774703557312,98.1598448810755,P50614,3.4.11.18,3,4,11,18,2203,2212,41
AF_Q8LST2,"(-0.818, 7.8098, -9.9837)",74.68493716337522,75.6597571942446,Q6EU49,2.7.11.1,2,7,11,1,1648,1145,1
AF_Q1R8B8,"(3.8455, 9.6218, -8.8449)",95.20764705882353,95.38408704352176,B2V6N2,2.1.1.228,2,1,1,228,989,238,14
AF_O09000,"(-8.2577, -1.2052, 23.739)",47.97244635193134,48.956641509433965,Q9Y6Q9,2.3.1.48,2,3,1,48,1211,2975,18
AF_Q89X36,"(0.8796, -2.4754, -12.6493)",89.50854901960784,89.76754845468832,B2V6N2,2.1.1.228,2,1,1,228,989,238,14
AF_C4XLR8,"(-1.7652, 5.109, 0.3604)",96.47006849315068,96.44768287142207,B4U8W9,1.5.1.5,1,5,1,5,767,294,16
AF_C4XLR8,"(-1.7652, 5.109, 0.3604)",96.47006849315068,96.44768287142207,B4U8W9,1.5.1.5,1,5,1,5,767,294,16
AF_Q488N6,"(5.2042, 3.1111, 1.862)",97.54489260143198,97.54358055468992,Q03Y25,2.1.2.1,2,1,2,1,1075,138,7
AF_P35918,"(-8.6975, -14.5799, 9.4441)",71.45840148698883,71.95622312719009,P35969,2.7.10.1,2,7,10,1,1646,2979,4
AF_P07333,"(-16.3346, 28.1204, 2.8146)",78.10049382716049,78.37092546338899,O97799,2.7.10.1,2,7,10,1,1646,2621,4
AF_Q6BNG2,"(9.9142, 28.6013, -23.1639)",79.96393530997305,80.45610253003376,Q54RD4,2.7.7.7,2,7,7,7,1763,1408,2
AF_Q6HCU0,"(-0.5056, 6.6003, 6.5782)",96.81201923076922,96.84375531011044,Q838C9,1.1.1.37,1,1,1,37,110,529,21
AF_Q05471,"(-13.8131, 1.3739, 24.2759)",63.22718626155878,63.76391421129741,Q6CJ38,3.6.4.12,3,6,4,12,2641,2871,0
AF_C5DAQ1,"(4.3432, 7.6038, -6.7811)",93.63834437086092,93.5513507014028,E3HDJ8,2.3.1.31,2,3,1,31,1200,1438,38
AF_Q9Z1J2,"(6.3039, 1.934, -0.6925)",60.35272727272727,61.4181503446065,Q9Z1J2,2.7.11.1,2,7,11,1,1648,2313,1
AF_Q8RXN9,"(5.9422, 6.3378, 2.8594)",91.36718,91.4803268463074,Q7XKV5,3.2.1.21,3,2,1,21,2112,351,12
AF_C1CRE4,"(4.2108, 3.6994, 4.3015)",97.8626076555024,97.81557541549074,Q03Y25,2.1.2.1,2,1,2,1,1075,138,7
AF_Q38XZ9,"(2.0937, 9.7276, -17.5285)",90.4720792079208,91.0087478777589,Q92BR2,5.2.1.8,5,2,1,8,3108,1851,9
AF_Q0T7E7,"(30.309, 18.2977, -4.0372)",88.76409722222223,88.82138511518016,B4SLN0,5.2.1.8,5,2,1,8,3108,775,9
AF_Q2NAR9,"(3.632, 3.838, 3.7114)",97.3446543778802,97.36915732040012,Q03Y25,2.1.2.1,2,1,2,1,1075,138,7
AF_A9KWH6,"(22.9762, 25.3937, -8.0682)",89.3036866359447,89.44719773674805,B4SLN0,5.2.1.8,5,2,1,8,3108,775,9
AF_Q07801,"(-2.6947, 9.5815, -3.3465)",87.52585152838427,88.22358511837656,G4VJD6,1.5.1.3,1,5,1,3,752,1622,54
AF_Q0I414,"(1.8143, 4.1069, 0.309)",95.38361823361824,95.4539767523776,Q5QUZ5,3.2.1.52,3,2,1,52,2133,1512,45
AF_P0ABZ7,"(-1.4745, -0.3102, -7.0952)",90.00464953271027,90.1075369309617,Q0AC82,5.2.1.8,5,2,1,8,3108,376,9
AF_A5IRE4,"(-27.6307, -2.7391, 25.1271)",90.4280985306828,90.5382672586954,Q5HQJ5,3.6.4.12,3,6,4,12,2641,1440,0
AF_Q83G48,"(7.3002, 4.7849, -2.6384)",96.07666666666668,96.06279600570612,Q7NEW1,3.4.21.92,3,4,21,92,2314,1767,11
